3-brasis,"viola caipira,clarinete,violoncelo",
dudu-lima-trio,baixo elétrico,
duofel,violão,
duo-finlandia,"sanfona,violoncelo,sintetizador",
duo-gisbranco,piano,
duo-nazario,"bateria,teclado",
duo-peranzzetta-senise,"piano,flauta,saxofone",
duo-saraiva-murray,violão,
e-a-terra-nunca-me-pareceu-tao-distante,"bateria,guitarra,baixo elétrico,sintetizador",
edgard-scandurra,guitarra,
ed-motta,"piano,órgão hammond",
edu-ardanuy,guitarra,
eduardo-neves,saxofone,
eduardo-neves-e-rogerio-caetano,"violão 7 cordas,saxofone",
eduardo-sueitt,bateria,
edu-ribeiro,bateria,
edwin-pitre,baixo elétrico,
eko-afrobeat,"guitarra,baixo elétrico,bateria,saxofone,trompete,teclado,trombone,percussão",
ema-stoned,"baixo elétrico,bateria,guitarra",
emilio-martins,"bateria,percussão",
entrevero-instrumental,"violão,sanfona,bateria,baixo elétrico,saxofone",
esdras-nogueira,saxofone,
eumir-deodato-trio,"piano,teclado",
fabiano-de-castro,piano,
fabienne-magnant,violão,
fabio-caramuru,piano,
fabio-caramuru-e-marco-bernardo,piano,
fabio-gouvea,guitarra,
fabio-leal,guitarra,
fabio-peron,bandolim,
fabio-torres-trio,piano,
fabricio-conde,viola caipira,
faiska,guitarra,
federico-puppi,violoncelo,
felipe-jose,"violão,violoncelo,piano",
felipe-salles,saxofone,
felipe-vilas-boas,guitarra,
fernando-catatau,guitarra,
fernando-cesar-e-regional,violão 7 cordas,
fernando-correa,guitarra,
fernando-sodre,"violão,viola caipira",
fil-and-the-guitar-gun,guitarra,
filo-machado,violão,
flavio-bala,saxofone,
flavio-guimaraes,gaita,
francis-hime,piano,
frank-herzberg-trio,contrabaixo acústico,
frederico-heliodoro,"baixo elétrico, contrabaixo acústico",
fred-selva,vibrafone,
funkalister,"guitarra,baixo elétrico,bateria,saxofone,trompete,teclado,trombone,flauta,percussão",
funk-como-le-gusta,"guitarra,baixo elétrico,bateria,saxofone,trompete,teclado,trombone,flauta,percussão,flugelhorn",
gabi-gonzalez,guitarra,
gabriel-grossi,gaita,
gabriel-levy,"piano,sanfona",
gabriel-sater,"violão,viola caipira",
gasolines,"percussão,guitarra,baixo elétrico,bateria",
gestos-sonoros,"guitarra,baixo elétrico,bateria,saxofone,percussão,clarinete,flauta",
gian-correa,violão 7 cordas,
gil-costa,saxofone,
gilson-brito,violão,
gilson-peranzzetta-e-wagner-tiso,piano,
glauco-solter,baixo elétrico,
grupo-ara,"violão,baixo elétrico",
grupo-bola-preta,"flauta,violão 7 cordas,cavaquinho,pandeiro,bandolim,violão,saxofone",
grupo-semente,"cavaquinho,violão 7 cordas,percussão,flauta,saxofone,pandeiro",
grupo-tutti,"guitarra,baixo elétrico,bateria,saxofone,piano",
grupo-um,"baixo elétrico,bateria,saxofone,teclado,kalimba,contrabaixo acústico,clarone",
guanduo,violão,
guilherme-arantes,"teclado,piano",
guilherme-dias-gomes,trompete,
guilherme-kastrup,"bateria,percussão",
guilherme-ribeiro,"teclado,sanfona",
guinga,violão,
guinga-e-quinteto-villa-lobos,"violão,fagote,flauta,clarinete,oboé,trompa",
guizado,trompete,
gustavo-figueiredo,piano,
hab,piano,
hamilton-de-holanda,bandolim,
hamleto-stamato,piano,
hector-costita,"saxofone,clarinete",
helio-alves,piano,
heloisa-fernandes,piano,
henrique-annes,violão,
henrique-cazes-e-marcello-goncalves,"violão,cavaquinho",
heraldo-do-monte,"guitarra, viola caipira",
hermeto-pascoal,"piano,flauta,teclado",
hernan-rios-e-facundo-guevara,"piano,percussão",
hugo-linns,viola dinâmica,
humberto-junqueira,violão,
hurtmold,"guitarra,baixo elétrico,bateria,teclado,vibrafone,escaleta,percussão,clarinete",
hurtmold-e-paulo-santos,"guitarra,vibrafone,percussão,baixo elétrico,teclado",
iconili,"guitarra,baixo elétrico,bateria,teclado,vibrafone,escaleta,percussão,saxofone,teremim,trombone,trompete,sintetizador,pandeiro",
idriss-boudrioua,saxofone,
ifa,"baixo elétrico,bateria,guitarra,percussão,teclado,saxofone,flauta,trompete,flugelhorn",
improvisado,"bateria,contrabaixo acústico,piano",
indio-cachoeira-e-ricardo-vignini,viola caipira,
irio-junior,piano,
itibere-orquestra-familia,baixo elétrico,
itibere-zwarg,"teclado,baixo elétrico,tuba,piano",
ivan-lins,teclado,
ivan-vilela,viola caipira,
izaias-e-seus-choroes,bandolim,
jaguaribe-carne-e-trio-medeiros,"viola caipira,violão",
jaime-alem,"violão,viola caipira",
jaiz-in-4,"baixo elétrico,bateria,piano,trombone",
jalapeno,"baixo elétrico,contrabaixo acústico,bateria,teclado,guitarra",
jane-do-bandolim-e-o-miado-do-gato,bandolim,
jaques-morelenbaum,violoncelo,
jarmon-savolainen-trio,piano,
jazz-6,"baixo elétrico,bateria,saxofone,trompete,flugelhorn",
jazzmins,"baixo elétrico,bateria,saxofone,trompete,flugelhorn,flauta,flautim,clarinete,clarone,trompa,trombone,vibrafone,percussão",
jens-viggo-fjord-e-rogerio-souza,violão,
joana-queiroz,"clarone,clarinete",
joao-donato,piano,
joao-machala,trombone,
joao-paulo-goncalves,guitarra,
joao-rabello,violão,
joel-nascimento,bandolim,
jogando-tango,"acordeom,contrabaixo acústico,violão",
john-stein,guitarra,
jorge-bonfa,violão,
jorge-shy,"guitarra,violão",
jorginho-neto,trombone,
jose-celso-freitas,"piano,escaleta",
jovino-santos-neto,piano,
juarez-maciel,piano,
juarez-moreira,violão,
juliana-rodrigues,piano,
kaoll,"guitarra,flauta,viola caipira,baixo elétrico,bateria,teclado,percussão",
karlheinz-miklin-trio,"saxofone,bateria,contrabaixo acústico",
kestutis-vaiginis,saxofone,
kevin-hays-e-sergio-krakovski,"piano,percussão",
labirinto,"bateria,guitarra,baixo elétrico,sintetizador,percussão",
la-cumbia-negra,"bateria,guitarra,baixo elétrico,teclado,percussão",
ladies-instrumental,"bateria,guitarra,baixo elétrico,piano",
laercio-de-freitas-e-alessandro-penezzi,"piano,violão",
laercio-de-freitas-e-shen-ribeiro,"piano,flauta",
lamber-vision,"baixo elétrico,bateria,guitarra",
lan-lan,"percussão,cajón",
lanny-gordin,guitarra,
lavoura,"bateria,guitarra,baixo elétrico,sintetizador,teclado,flauta,saxofone",
leandro-braga,piano,
leo-eymard,violão,
leo-gandelman,saxofone,
leo-mitrulis,piano,
letieres-leite-orkestra-rumpilezz,"saxofone,percussão",
lilian-carmona,bateria,
liquidus-ambiento,"bateria,guitarra,baixo elétrico,sintetizador,teclado,flauta,trombone,vibrafone,sitar,trompete,saxofone",
lis-de-carvalho,"piano,teclado",
lorenzo-surfer-joe,guitarra,
los-5,"guitarra,bateria,baixo elétrico,teclado,percussão",
los-protones,"guitarra,bateria,baixo elétrico,teclado,percussão",
los-twang-marvels,"guitarra,bateria,baixo elétrico",
louise-woolley,piano,
lourenco-rebetez,guitarra,
lucas-estrela,"guitarra,sintetizador",
lucas-telles,violão,
luciana-rabello,cavaquinho,
lucio-maia,guitarra,
lucky-lupe,"guitarra,sintetizador",
ludere,"piano,trompete,flugelhorn,bateria,contrabaixo acústico",
luisa-mitre,piano,
luis-leite,violão,
luiz-brasil,"guitarra,violão",
luiz-paulo-simas,piano,
lupa-santiago-e-paulo-braga,"piano,guitarra",
mabombe,"bateria,guitarra,baixo elétrico",
macaco-bong,"bateria,guitarra,baixo elétrico",
magno-bissoli,bateria,
makiko-yoneda,piano,
malditas-ovelhas,"bateria,guitarra,sintetizador",
mamma-cadela,"bateria,guitarra,sintetizador,toca-discos,teclado",
mane-silveira-quinteto,saxofone,
mani-padme-trio,"piano,flauta,contrabaixo acústico",
manoel-cordeiro,guitarra,
manoel-cruz,baixo elétrico,
maogani,"violão, violão 7 cordas",
marcelo-monteiro,"saxofone,flauta",
marcel-powell,violão,
marcio-bahia,bateria,
marcio-hallack,piano,
marco-bosco,percussão,
marco-lobo,percussão,
marco-nalesso-e-a-fundacao,"bateria,guitarra,baixo elétrico,percussão,sintetizador,saxofone",
marco-pereira,violão,
marco-pereira-e-gabriel-grossi,"violão,gaita",
marcos-frederico,bandolim,
marcos-paiva,contrabaixo acústico,
marcos-ruffato,bandolim,
marcos-valle,"piano,teclado",
marcus-abjaud,piano,
marginals,"contrabaixo acústico,flauta,saxofone,sintetizador,bateria",
mariana-zwarg,flauta,
mario-seve,saxofone,
marlene-souza-lima,"guitarra,violão",
marquinho-mendonca,"guitarra,cavaquinho,violão,bandolim",
martinez-jazzfunk,"guitarra,baixo elétrico,bateria,vibrafone",
matheus-barbosa,guitarra,
mauricio-einhorn,gaita,
mauricio-ribeiro,violão,
mauro-albert,violão,
mauro-senise,"saxofone,flauta",
max-de-castro,"guitarra,violão",
max-robert-trio-guinga,baixo elétrico,
mc4,saxofone,
meneio,"guitarra,baixo elétrico,bateria,sintetizador",
mental-abstrato,"percussão,baixo elétrico,sintetizador",
mente-clara,"guitarra,baixo elétrico,bateria,saxofone,piano,escaleta",
mereneu-project,"guitarra,baixo elétrico,bateria,saxofone,trombone,flugelhorn,clarone,flauta,clarinete",
meretrio,"guitarra,baixo elétrico,bateria,piano",
michelle-abu,percussão,
michel-leme,guitarra,
monte-pascoal,saxofone,
mozar-terra,piano,
mutrib,"cajón,trombone,tuba,alaúde,flauta,sanfona,saxofone,trompete,kaval,nay,davul,derbak",
na-gaveta,"guitarra,contrabaixo acústico,bateria,trombone,flugelhorn,saxofone,flauta,clarinete",
nailor-proveta,"clarinete,saxofone",
nailor-proveta-e-alessandro-penezzi,"violão 7 cordas,clarinete,saxofone,violão",
nectar-do-groove,"guitarra,baixo elétrico,bateria,percussão,viola caipira,saxofone",
nelson-ayres-big-band,piano,
nelson-ayres-trio,"piano,contrabaixo acústico,bateria",
nene-trio,bateria,
ney-conceicao,baixo elétrico,
neymar-dias,viola caipira,
nicolas-krassik-e-cordestinos,violino,
nivaldo-ornelas,"flauta,saxofone",
nomade-orquestra,"guitarra,baixo elétrico,bateria,teclado,saxofone,toca-discos,flauta,trompete,percussão,trombone,alaúde,marimba",
nuno-mindelis,guitarra,
o-do-borogodo,"pandeiro,cavaquinho,violão 7 cordas,clarinete",
oleg-fateev-e-quinteto-mundano,acordeom,
oswaldinho-do-acordeon,sanfona,
otis-trio,"guitarra, contrabaixo acústico, bateria, saxofone, trompete, flugelhorn, vibrafone, flauta, clarone, trombone",
ozorio-trio,"violão, baixo elétrico, gaita, banjo, piano, violino, viola caipira, violoncelo, bateria",
pablo-dias,cavaquinho,
pablo-passini,guitarra,
palindrum,"hang drum,bateria,violão,violoncelo,piano",
panorama-do-choro-paulistano-contemporaneo,"piano,violão,pandeiro,percussão,clarinete,clarone,flauta,saxofone,violão 7 cordas,bandolim,cavaquinho",
paolo-angeli,violão,
papo-de-anjo,"violão,pandeiro,percussão,clarinete,flauta,violão 7 cordas,bandolim,cavaquinho",
pascoal-meirelles,bateria,
pata-de-elefante,"guitarra,baixo elétrico,bateria",
patavinas-jazz-club,"guitarra,baixo elétrico,bateria,saxofone,trompete,trombone,clarinete,flauta,teclado",
pau-brasil,"violão,baixo elétrico,contrabaixo acústico,bateria,saxofone,flauta,teclado,piano",
paula-faour,piano,
paulo-gusmao,violão,
paulo-paulelli,"baixo elétrico,contrabaixo acústico",
paulo-russo-e-kiko-continentino,"piano,contrabaixo acústico",
pedro-osmar-e-loop-b,"viola caipira,percussão",
pepeu-gomes,"bandolim,guitarra",
pereira-da-viola,viola caipira,
pianorquestra,piano,
porto,"bateria,vibrafone,guitarra",
projeto-atlantico,"violão,viola de roda,contrabaixo acústico,percussão,rabeca",
projeto-b,"guitarra,baixo elétrico,bateria,trompete,flugelhorn,piano",
projeto-coisa-fina,"guitarra,baixo elétrico,bateria,trompete,flugelhorn,piano,trombone,saxofone,flautim,percussão,clarinete,flauta",
projetonave,"guitarra,baixo elétrico,bateria,teclado,toca-discos",
quartabe,"bateria,piano,clarone,clarinete,saxofone",
quarteto-brasil,"guitarra,baixo elétrico,bateria,saxofone,piano",
quintal-brasileiro,"violino,viola,violoncelo,contrabaixo acústico",
rafa-castro-e-tulio-mourao,piano,
rafael-abdalla,contrabaixo acústico,
rafael-beck-e-rafael-schimidt,violão,
rafael-macedo,"flauta,violão 7 cordas,cavaquinho,pandeiro,violão,flautim",
rafael-martini,piano,
rafael-pansica,violão 7 cordas,
rainer-tankred-pappon,guitarra,
raphael-ferreira,saxofone,
raul-de-souza,trombone,
reinaldo-ponte,violão,
renata-montanari,violão,
renato-borghetti,sanfona,
renato-consorte,guitarra,
renato-saldanha,violão,
retrofoguetes,"guitarra,baixo elétrico,bateria,teclado",
ricardo-herz,violino,
ricardo-mac-cord,piano,
ricardo-silveira,"guitarra,violão",
ricardo-valverde,vibrafone,
rick-udler,"violão,guitarra",
rildo-hora-e-misael-hora,"gaita,piano",
rivotrill,"baixo elétrico,pandeiro,percussão,saxofone,flauta,escaleta",
robertinho-de-recife,guitarra,
robertinho-silva,"percussão,bateria",
roberto-correa-e-orquestra-a-base-de-corda,"viola caipira,violão 7 cordas,piano,violino,violão,cavaquinho,percussão,rabeca,bandolim",
roberto-menescal,guitarra,
roberto-sion-e-helio-delmiro,"violão,contrabaixo acústico,baixo elétrico,bateria",
roberto-sion-e-itamar-collaco,"baixo elétrico,piano,saxofone,contrabaixo acústico",
robin-nolan,guitarra,
roda-de-choro,"violão 7 cordas,cavaquinho,pandeiro,piano,clarinete,sanfona",
rodrigo-lemos,viola caipira,
rodrigo-nassif,violão,
rodrigo-torino,violão,
rogerio-botter-maio,"contrabaixo acústico,baixo elétrico",
rogerio-rochlitz,"teclado,piano",
romero-lubambo,"violão,guitarra",
rubinho-antunes,trompete,
rufo-herrera-e-orquestra-ouro-preto,"bandoneón,violino,violoncelo,contrabaixo acústico,piano,violão",
ruido-mm,"teclado,bateria,baixo elétrico,guitarra",
samy-erick,violão,
sandro-albert,guitarra,
sao-paulo-ska-jazz,"guitarra,contrabaixo acústico,bateria,bandolim,teclado,trompete,trombone,saxofone,flauta",
sao-paulo-underground,"bateria,flauta,cavaquinho,teclado",
saracotia,"violão 7 cordas,bandolim,bateria",
satanique-samba-trio,"baixo elétrico,bateria,viola caipira,saxofone,percussão,cavaquinho,escaleta,violão,clarone,sanfona",
scott-feiner-pandeiro-jazz,pandeiro,
sebastiao-tapajos,violão,
seis-com-casca,"guitarra,percussão,violino,contrabaixo acústico,piano,clarinete,pandeiro,vibrafone",
sergio-danilo,"flauta,saxofone",
sergio-galvao,saxofone,
sergio-hinds,guitarra,
sidiel-vieira,contrabaixo acústico,
sidnei-de-oliveira,viola caipira,
silvia-goes,piano,
sinequanon,"bateria,guitarra,contrabaixo acústico,saxofone",
sizao-machado,"contrabaixo acústico,baixo elétrico",
skafandros-orkestra,"bateria,guitarra,baixo elétrico,saxofone,trombone,trompete,flauta,flugelhorn,sanfona,percussão",
ska-maria-pastora,"bateria,guitarra,baixo elétrico,saxofone,trombone,trompete,percussão,teclado",
skrotes,"baixo elétrico,sintetizador,piano,bateria",
smack,guitarra,
som-imaginario,"violão,baixo elétrico,bateria,percussão,saxofone",
sonoris-fabrica,"violino,violão,bateria,baixo elétrico",
soukast,"bateria,percussão",
soundscape,"saxofone,trompete,trombone,piano,contrabaixo acústico,guitarra,bateria",
spokfrevo-orquestra,"saxofone,trompete,trombone,piano,baixo elétrico,guitarra,bateria,percussão",
strobo,"bateria,guitarra,sintetizador",
